coffeepk,lat,lon,name,city,state,street,rating,numofratings,tile
255,40.7137279,-74.0084336,Takahachi Bakery,New York,NY,Murray Street 25,0.0,0,13571_-24670
256,40.7426583,-73.9983133,Café Grumpy,New York,NY,West 20th Street 224,0.0,0,13580_-24667
257,40.7151271,-73.9901425,Café Grumpy,New York,NY,Essex Street 13,0.0,0,13571_-24664
258,40.7116726,-73.9946073,CC’s Cafe,New York,NY,Monroe Street 41,0.0,0,13570_-24665
259,40.7422365,-73.9949484,Joe Pro Shop & Headquarters,New York,NY,West 21st Street 131,0.0,0,13580_-24665
260,40.7163413,-73.9885359,The Doughnut Plant,New York,NY,Grand Street 379,0.0,0,13572_-24663
261,40.7474254,-73.9737287,Ground Central,New York,NY,2nd Avenue 714,0.0,0,13582_-24658
262,40.803562,-73.9636828,Hungarian Pastry Shop,New York,NY,Amsterdam Avenue 1030,0.0,0,13601_-24655
263,40.7729961,-73.9742495,Le Pain Quotidien,New York,NY,Unknown Street,0.0,0,13590_-24659
264,40.709679,-74.0083821,d Elici,New York,NY,Nassau Street 71,0.0,0,13569_-24670
265,40.7102382,-74.0106426,The Coffee Bean & Tea Leaf,New York,NY,Cortlandt Street 22,0.0,0,13570_-24671
266,40.7182651,-74.007295,Starbucks,New York,NY,Greenwich Street 372,0.0,0,13572_-24670
267,40.7071222,-74.0049867,Coffee Project New York | Financial District,New York,NY,John Street 135,0.0,0,13569_-24669
268,40.7065796,-74.0050348,Flavors,New York,NY,Unknown Street,0.0,0,13568_-24669
269,40.7533516,-73.9957959,34th Bagels & More,New York,NY,West 34th Street 365,0.0,0,13584_-24666
270,40.7412113,-74.004914,Le Pain Quotidien,New York,NY,9th Avenue 52,0.0,0,13580_-24669
271,40.7343889,-74.002678,Cafe Condesa,New York,NY,Unknown Street,0.0,0,13578_-24668
